clean_utterance_path,embedding_utterance_path,interference_utterance_path,clean_segment,interference_segment,segment_length
datasets/ZaloAI2020/dataset/660/660-F-34/16k_660-19.wav,datasets/ZaloAI2020/dataset/660/660-F-34/16k_660-18.wav,datasets/ZaloAI2020/dataset/524/524-F-28/16k_524-5.wav,1003,335,3
datasets/ZaloAI2020/dataset/722/722-M-32/16k_722-7.wav,datasets/ZaloAI2020/dataset/722/722-M-32/16k_722-6.wav,datasets/VinBigdata/dataset/Bongnt_hall_2212/Bongnt_hall_2212/vinfast-vsmart-000000194-Bongnt_hall_2212-HaNoi-MienBac-1960-nu-vinfast-vsmart-1.wav,588,8895,3
datasets/VinBigdata/dataset/50949/50949/vinfast-vsmart-000000047-50949-QuangBinh-MienTrung-1994-nam-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/50949/50949/vinfast-vsmart-000004067-50949-QuangBinh-MienTrung-1994-nam-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/659/659-F-39/16k_659-16.wav,991,32763,3
datasets/ZaloAI2020/dataset/769/769-F-27/16k_769-9.wav,datasets/ZaloAI2020/dataset/769/769-F-27/16k_769-10.wav,datasets/ZaloAI2020/dataset/807/807-F-28/16k_807-7.wav,3597,9553,3
datasets/ZaloAI2020/dataset/79/79-F-27/16k_79-19.wav,datasets/ZaloAI2020/dataset/79/79-F-27/16k_79-18.wav,datasets/ZaloAI2020/dataset/503/503-M-28/16k_503-25.wav,69030,4577,3
datasets/ZaloAI2020/private-test/25/25/16k_qaj6w0p6tP1flLxg2yji.wav,datasets/ZaloAI2020/private-test/25/25/16k_f7kBPWNRc80yAkNf9GZ3.wav,datasets/VinBigdata/dataset/50949/50949/vinfast-vsmart-000004622-50949-QuangBinh-MienTrung-1994-nam-vinfast-vsmart-1.wav,5586,8462,3
datasets/ZaloAI2020/dataset/566/566-F-32/16k_566-20.wav,datasets/ZaloAI2020/dataset/566/566-F-32/16k_566-5.wav,datasets/ZaloAI2020/dataset/663/663-F-31/16k_663-20.wav,918,12656,3
datasets/VinBigdata/dataset/Buithitho/Buithitho/vinfast-vsmart-000004977-Buithitho-QuangTri-MienTrung-1959-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Buithitho/Buithitho/vinfast-vsmart-000004243-Buithitho-QuangTri-MienTrung-1959-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/47310/47310/vinfast-vsmart-000005958-47310-ThuaThienHue-MienTrung-2001-nam-vinfast-vsmart-1.wav,9744,981,3
datasets/VinBigdata/dataset/53807/53807/vinfast-vsmart-000000892-53807-PhuYen-MienTrung-2001-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/53807/53807/vinfast-vsmart-000005215-53807-PhuYen-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/798/798-M-30/16k_798-29.wav,35477,3191,3
datasets/VinBigdata/dataset/Anhdm_cr_712/Anhdm_cr_712/vinfast-vsmart-000006737-Anhdm_cr_712-HaNoi-MienBac-1985-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Anhdm_cr_712/Anhdm_cr_712/vinfast-vsmart-000005925-Anhdm_cr_712-HaNoi-MienBac-1985-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Buithithe/Buithithe/vinfast-vsmart-000000029-Buithithe-QuangTri-MienTrung-1940-nu-vinfast-vsmart.wav,29756,4228,3
datasets/ZaloAI2020/dataset/51/51-F-30/16k_51-17.wav,datasets/ZaloAI2020/dataset/51/51-F-30/16k_51-6.wav,datasets/VinBigdata/dataset/48425/48425/vinfast-vsmart-000004773-48425-GiaLai-MienTrung-2001-nu-vinfast-vsmart-1.wav,89,209,3
datasets/ZaloAI2020/dataset/715/715-F-35/16k_715-8.wav,datasets/ZaloAI2020/dataset/715/715-F-35/16k_715-3.wav,datasets/ZaloAI2020/dataset/55/55-F-35/16k_55-14.wav,12357,186583,3
datasets/ZaloAI2020/dataset/96/96-M-29/16k_96-3.wav,datasets/ZaloAI2020/dataset/96/96-M-29/16k_96-21.wav,datasets/ZaloAI2020/dataset/709/709-F-28/16k_709-19.wav,39123,17965,3
datasets/ZaloAI2020/dataset/669/669-F-27/16k_669-8.wav,datasets/ZaloAI2020/dataset/669/669-F-27/16k_669-9.wav,datasets/ZaloAI2020/dataset/732/732-M-29/16k_732-8.wav,12969,5455,3
datasets/ZaloAI2020/dataset/738/738-M-30/16k_738-10.wav,datasets/ZaloAI2020/dataset/738/738-M-30/16k_738-2.wav,datasets/ZaloAI2020/dataset/499/499-F-29/16k_499-21.wav,38790,16,3
datasets/VinBigdata/dataset/Anh02/Anh02/vinfast-vsmart-000004628-Anh02-DaNang-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/Anh02/Anh02/vinfast-vsmart-000003920-Anh02-DaNang-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/47919/47919/vinfast-vsmart-000004537-47919-PhuYen-MienTrung-2001-nu-vinfast-vsmart.wav,10628,32664,3
datasets/VinBigdata/dataset/52755/52755/vinfast-vsmart-000004417-52755-ThanhHoa-MienTrung-2002-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/52755/52755/vinfast-vsmart-000001636-52755-ThanhHoa-MienTrung-2002-nu-vinfast-vsmart-1.wav,datasets/VinBigdata/dataset/53414/53414/vinfast-vsmart-000001158-53414-QuangNam-MienTrung-1991-nam-vinfast-vsmart.wav,18687,12381,3
datasets/VinBigdata/dataset/47253/47253/vinfast-vsmart-000003767-47253-KhanhHoa-MienTrung-2001-nu-vinfast-vsmart.wav,datasets/VinBigdata/dataset/47253/47253/vinfast-vsmart-000001311-47253-KhanhHoa-MienTrung-2001-nu-vinfast-vsmart-1.wav,datasets/ZaloAI2020/dataset/605/605-F-29/16k_605-22.wav,16700,32524,3
