clean_utterance_path,embedding_utterance_path,interference_utterance_path,clean_segment,interference_segment,segment_length
datasets/LibriSpeech/test-clean/3570/5694/3570-5694-0005.flac,datasets/LibriSpeech/test-clean/3570/5694/3570-5694-0016.flac,datasets/LibriSpeech/dev-clean/2803/154328/2803-154328-0001.flac,1944,1688,3
datasets/LibriSpeech/test-clean/8555/292519/8555-292519-0007.flac,datasets/LibriSpeech/test-clean/8555/284449/8555-284449-0005.flac,datasets/LibriSpeech/test-clean/1284/1181/1284-1181-0005.flac,24203,4193,3
datasets/LibriSpeech/test-clean/237/134500/237-134500-0022.flac,datasets/LibriSpeech/test-clean/237/134500/237-134500-0030.flac,datasets/LibriSpeech/test-clean/5639/40744/5639-40744-0020.flac,9941,18585,3
datasets/LibriSpeech/dev-clean/6319/57405/6319-57405-0004.flac,datasets/LibriSpeech/dev-clean/6319/57405/6319-57405-0002.flac,datasets/LibriSpeech/test-clean/7729/102255/7729-102255-0031.flac,1372,39022,3
datasets/LibriSpeech/test-clean/1089/134691/1089-134691-0014.flac,datasets/LibriSpeech/test-clean/1089/134691/1089-134691-0003.flac,datasets/LibriSpeech/test-clean/8555/284449/8555-284449-0006.flac,8656,517,3
datasets/LibriSpeech/dev-clean/652/130726/652-130726-0015.flac,datasets/LibriSpeech/dev-clean/652/130726/652-130726-0024.flac,datasets/LibriSpeech/dev-clean/2803/154328/2803-154328-0006.flac,3942,475,3
datasets/LibriSpeech/dev-clean/1462/170142/1462-170142-0002.flac,datasets/LibriSpeech/dev-clean/1462/170142/1462-170142-0038.flac,datasets/LibriSpeech/dev-clean/3170/137482/3170-137482-0024.flac,18942,1949,3
datasets/LibriSpeech/dev-clean/6345/93302/6345-93302-0004.flac,datasets/LibriSpeech/dev-clean/6345/93302/6345-93302-0027.flac,datasets/LibriSpeech/test-clean/1221/135767/1221-135767-0001.flac,3498,54976,3
datasets/LibriSpeech/dev-clean/422/122949/422-122949-0003.flac,datasets/LibriSpeech/dev-clean/422/122949/422-122949-0001.flac,datasets/LibriSpeech/test-clean/237/134493/237-134493-0001.flac,19146,37109,3
datasets/LibriSpeech/test-clean/4077/13751/4077-13751-0007.flac,datasets/LibriSpeech/test-clean/4077/13754/4077-13754-0005.flac,datasets/LibriSpeech/dev-clean/2078/142845/2078-142845-0006.flac,64589,26488,3
